,基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%)
2015-12,1.64,9.08,0.0,19554913.0,3941807.0,3312278.0,356191.0,67984.0,3380262.0,1811941.0,1761595.0,1604602.0,-990570.0,61129557.0,54702438.0,47498595.0,42006183.0,10018352.0,19.14
2016-03,0.08,9.12,-0.97,1461131.0,337827.0,164660.0,38498.0,4067.0,168727.0,83323.0,80512.0,-1072613.0,-169754.0,65883748.0,58987962.0,52008859.0,45689864.0,10063674.0,0.83
2016-06,0.48,8.83,2.34,7479529.0,1339324.0,990461.0,134240.0,7574.0,998034.0,535131.0,533585.0,2579721.0,1915959.0,71230669.0,63489675.0,57413264.0,50986747.0,9746073.0,5.2
2016-09,0.75,9.1,0.0,11705480.0,2097099.0,1578730.0,224617.0,17387.0,1596117.0,826238.0,809323.0,4298589.0,1816558.0,75592965.0,66529681.0,61239607.0,55315828.0,10040353.0,8.13
2016-12,1.9,10.28,0.0,24047724.0,4875608.0,3902378.0,501384.0,22983.0,3925361.0,2102261.0,2092928.0,3956613.0,2774239.0,83067421.0,72129543.0,66899764.0,57999849.0,11344477.0,19.68
2017-03,0.06,0.0,0.0,1858923.0,418888.0,155901.0,25972.0,1252.0,157153.0,69541.0,67619.0,-952394.0,412951.0,88675352.0,77324290.0,72476750.0,62763400.0,11397138.0,0.61
2017-06,0.66,10.2,1.98,6981048.0,1763476.0,1366165.0,151984.0,16526.0,1382691.0,730272.0,712350.0,2185016.0,2019314.0,92926592.0,81223494.0,76810816.0,67612358.0,11264066.0,6.22
2017-09,1.01,0.0,0.0,11710050.0,2771342.0,2068768.0,338712.0,21392.0,2090159.0,1109100.0,1059551.0,1670624.0,705765.0,101838199.0,89974887.0,85065670.0,74344107.0,11637327.0,9.53
2017-12,2.54,12.02,0.0,24289711.0,6309496.0,5081292.0,624456.0,32904.0,5114195.0,2805181.0,2727954.0,8232283.0,8483599.0,116534692.0,101755283.0,97867298.0,84735543.0,13267532.0,22.8
2018-03,0.08,0.0,0.0,3082562.0,798146.0,297106.0,-33482.0,2824.0,299930.0,89488.0,82591.0,-2775365.0,-8036399.0,122426479.0,106631528.0,102892739.0,88095367.0,13618518.0,0.66
2018-06,0.83,12.22,0.0,10597454.0,2899259.0,1962914.0,78441.0,3871.0,1966784.0,912374.0,909665.0,-425509.0,-1441032.0,134515164.0,114479129.0,113936748.0,96976172.0,13489218.0,6.51
2018-09,1.27,0.0,0.0,17602214.0,4853161.0,3165412.0,265001.0,798.0,3166211.0,1398456.0,1394643.0,-2573117.0,-4120961.0,143222205.0,121240825.0,121633029.0,104413641.0,14000141.0,10.04
