,0
升降百分比, -0.016518
今日最高价, 7.83
当前价, 7.74
今日开盘价, 7.71
今日最低价, 7.63
价格升降, -0.13
更新时间," ""2019/01/11 15"
今日成交量, 11978254
昨日收盘价, 7.87
今日成交额, 92405603.06
