,基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%)
2015-12,0.01,0.0,0.0,12045.0,3604.0,1014.0,82.0,67.0,1081.0,125.0,87.0,926.0,1158.0,39867.0,32653.0,23538.0,20458.0,8152.0,1.54
2016-03,-0.03,0.0,0.0,1348.0,244.0,-277.0,-6.0,-8.0,-285.0,-239.0,-234.0,115.0,-97.0,41095.0,33975.0,25051.0,21971.0,7913.0,-2.98
2016-06,0.04,0.0,0.0,10215.0,2063.0,417.0,-13.0,22.0,440.0,299.0,300.0,10506.0,10058.0,46383.0,39368.0,29754.0,26674.0,8451.0,3.6
2016-09,0.18,0.0,0.0,21757.0,5521.0,2701.0,-19.0,42.0,2743.0,1470.0,1469.0,13433.0,8896.0,38162.0,31194.0,21103.0,21023.0,9622.0,19.25
2016-12,0.47,0.0,0.0,28767.0,6692.0,5158.0,2647.0,-539.0,4619.0,3930.0,1585.0,14793.0,4430.0,22372.0,13423.0,4552.0,3670.0,12082.0,38.84
2017-03,-0.01,0.0,0.0,1087.0,152.0,-169.0,0.0,-0.0,-169.0,-118.0,-118.0,-999.0,328.0,22380.0,13523.0,4729.0,3848.0,11964.0,-0.98
2017-06,-0.04,0.0,0.0,2929.0,641.0,-599.0,0.0,26.0,-574.0,-377.0,-389.0,-584.0,717.0,22869.0,14087.0,5624.0,4615.0,11705.0,-3.18
2017-09,-0.06,0.0,0.0,7100.0,3400.0,-845.0,0.0,26.0,-819.0,-543.0,-556.0,441.0,1718.0,24121.0,15411.0,7122.0,6078.0,11539.0,-4.6
2017-12,0.1,0.0,0.0,13861.0,8270.0,880.0,1385.0,92.0,972.0,857.0,-301.0,1444.0,428.0,26884.0,14543.0,8475.0,7029.0,12939.0,6.85
2018-03,0.02,0.0,0.0,7560.0,5871.0,9.0,51.0,353.0,362.0,206.0,30.0,887.0,2965.0,31013.0,18718.0,10186.0,8683.0,13172.0,1.58
2018-06,0.02,0.0,0.0,15449.0,12335.0,-203.0,309.0,387.0,184.0,198.0,5.0,447.0,2476.0,32035.0,19058.0,11386.0,10400.0,13165.0,1.52
2018-09,-0.03,0.0,0.0,25618.0,20598.0,-848.0,393.0,161.0,-687.0,-259.0,-340.0,-243.0,1707.0,33471.0,20462.0,13692.0,13266.0,12707.0,-2.02
