,基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%)
2015-12,0.06,0.0,0.0,9896.0,7123.0,1262.0,2006.0,263.0,1525.0,1400.0,1156.0,23736.0,14418.0,48036.0,28799.0,10753.0,10753.0,36921.0,3.87
2016-03,0.03,0.0,0.0,824.0,517.0,1948.0,343.0,-177.0,1772.0,766.0,-554.0,-695.0,-19787.0,55810.0,30774.0,11362.0,10809.0,37728.0,2.05
2016-06,-0.12,0.0,0.0,1716.0,1105.0,-747.0,566.0,-301.0,-1048.0,-2666.0,-1183.0,-822.0,-17728.0,53815.0,32557.0,12755.0,11787.0,34094.0,-7.49
2016-09,-0.09,0.0,0.0,2822.0,1857.0,-450.0,1032.0,-40.0,-490.0,-2006.0,-1380.0,-3186.0,-19847.0,52013.0,30926.0,10152.0,9675.0,34664.0,1.77
2016-12,0.34,0.0,0.0,3886.0,2423.0,9115.0,13058.0,-95.0,9021.0,7802.0,-1554.0,-2416.0,-16023.0,51437.0,24266.0,7714.0,7668.0,37047.0,19.13
2017-03,0.0,0.0,0.0,1165.0,927.0,-525.0,448.0,-14.0,-539.0,28.0,95.0,-2580.0,-1389.0,48529.0,20894.0,5229.0,5191.0,37075.0,0.07
2017-06,0.06,0.0,0.0,2173.0,1419.0,603.0,3879.0,-31.0,572.0,2104.0,-865.0,-314.0,3009.0,44622.0,19876.0,5135.0,5135.0,39151.0,5.52
2017-09,0.03,0.0,0.0,3406.0,2177.0,-542.0,4000.0,-31.0,-574.0,1033.0,-1656.0,-653.0,-3371.0,43142.0,19407.0,4729.0,4729.0,38080.0,2.75
2017-12,0.05,0.0,0.0,3964.0,2622.0,665.0,2237.0,-483.0,182.0,1645.0,-299.0,227.0,-4956.0,44268.0,19334.0,5225.0,5196.0,38692.0,4.34
2018-03,-0.02,0.0,0.0,1070.0,821.0,-971.0,-3.0,-0.0,-972.0,-773.0,-49.0,-443.0,-445.0,42946.0,17824.0,4678.0,4650.0,37919.0,-2.02
2018-06,-0.03,0.0,0.0,2239.0,1590.0,-1466.0,239.0,-125.0,-1592.0,-1107.0,680.0,-575.0,-98.0,42590.0,17050.0,4657.0,4514.0,37586.0,-2.9
2018-09,-0.03,0.0,0.0,3226.0,2204.0,-1179.0,460.0,-137.0,-1316.0,-866.0,908.0,-615.0,-138.0,42533.0,14082.0,4360.0,4217.0,37826.0,-2.26
