,0
升降百分比, 0.007567
今日最高价, 25.54
当前价, 25.3
今日开盘价, 25.1
今日最低价, 25.01
价格升降, 0.19
更新时间," ""2019/01/11 15"
今日成交量, 24069490
昨日收盘价, 25.11
今日成交额, 606994703.42
