,基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%)
2015-12,1.56,11.29,-0.13,9616300.0,2889500.0,2889500.0,392400.0,-4900.0,2884600.0,2186500.0,2190200.0,-182600.0,7788500.0,250714900.0,0.0,234564900.0,0.0,16150000.0,14.94
2016-03,0.43,11.71,4.14,2753200.0,801400.0,801400.0,82400.0,1500.0,802900.0,608600.0,607500.0,5926800.0,1619600.0,268115500.0,0.0,249358600.0,0.0,18756900.0,3.7
2016-06,0.72,10.0,-1.93,5476900.0,1615600.0,1615600.0,160800.0,-200.0,1615400.0,1229200.0,1229400.0,-3319800.0,-4819600.0,280098300.0,0.0,260928300.0,0.0,19170000.0,7.35
2016-09,1.09,10.38,-8.91,8196800.0,2454500.0,2454500.0,246600.0,1500.0,2456000.0,1871900.0,1870700.0,-15294200.0,-12559000.0,279123800.0,0.0,259301000.0,0.0,19822800.0,11.02
2016-12,1.32,10.61,0.64,10771500.0,2977900.0,2977900.0,236800.0,15600.0,2993500.0,2259900.0,2260600.0,1098900.0,-2792700.0,295343400.0,0.0,275126300.0,0.0,20217100.0,13.18
2017-03,0.31,10.94,-6.7,2771200.0,822800.0,822800.0,61100.0,200.0,823000.0,621400.0,621200.0,-11500800.0,-11333200.0,300619500.0,0.0,279845600.0,0.0,20773900.0,2.89
2017-06,0.68,11.15,-7.47,5407300.0,1646800.0,1646800.0,73900.0,-3600.0,1643200.0,1255400.0,1251200.0,-12818000.0,-10911200.0,309214200.0,0.0,288068800.0,0.0,21145400.0,6.21
2017-09,1.06,11.54,-9.2,7983300.0,2500000.0,2500000.0,64400.0,-6100.0,2493900.0,1915300.0,1913000.0,-15798700.0,-10747100.0,313748100.0,0.0,291937000.0,0.0,21811100.0,9.6
2017-12,1.3,11.77,-6.92,10578600.0,3022300.0,3022300.0,63200.0,-6600.0,3015700.0,2318900.0,2316200.0,-11878000.0,-9639000.0,324847400.0,0.0,302642000.0,0.0,22205400.0,11.62
2018-03,0.33,11.85,2.41,2802600.0,858400.0,858400.0,41600.0,-1700.0,856700.0,659500.0,655500.0,4144200.0,5386400.0,333857200.0,0.0,311518100.0,0.0,22339100.0,2.79
2018-06,0.73,12.13,0.43,5724100.0,1740200.0,1740200.0,118700.0,-3500.0,1736700.0,1337200.0,1332600.0,745500.0,8388300.0,336739900.0,0.0,313925800.0,0.0,22814100.0,6.13
2018-09,1.14,12.54,-0.66,8666400.0,2661400.0,2661400.0,709900.0,-4800.0,2656600.0,2045600.0,2034700.0,-1131000.0,2758600.0,335205600.0,0.0,311682500.0,0.0,23523100.0,9.48
