,0
升降百分比, 0.009901
今日最高价, 10.22
当前价, 10.2
今日开盘价, 10.11
今日最低价, 10.05
价格升降, 0.1
更新时间," ""2019/01/11 15"
今日成交量, 69636455
昨日收盘价, 10.1
今日成交额, 708001802.17
