,0
升降百分比, 0.020408
今日最高价, 3.23
当前价, 3.0
今日开盘价, 2.91
今日最低价, 2.91
价格升降, 0.06
更新时间," ""2019/01/11 15"
今日成交量, 37694836
昨日收盘价, 2.94
今日成交额, 117122321.75
