,基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%)
2015-12,0.08,0.0,0.0,129508.0,58671.0,19574.0,1582.0,3759.0,23333.0,18567.0,16648.0,-7246.0,23196.0,358935.0,165306.0,68129.0,63155.0,290806.0,7.6
2016-03,0.0,0.0,0.0,21267.0,9624.0,-557.0,31.0,2195.0,1639.0,1159.0,753.0,2573.0,62502.0,679450.0,309267.0,114400.0,108897.0,559743.0,0.24
2016-06,0.01,0.0,0.0,61581.0,28950.0,3247.0,-7.0,2370.0,5616.0,4194.0,3921.0,-5212.0,56068.0,689924.0,320988.0,121943.0,116386.0,562976.0,1.25
2016-09,0.04,0.0,0.0,100733.0,49764.0,24736.0,14906.0,3967.0,28703.0,21690.0,9813.0,-9947.0,87226.0,716659.0,378223.0,130759.0,125079.0,580660.0,2.99
2016-12,0.19,0.0,0.0,187601.0,96004.0,56374.0,15873.0,7912.0,64286.0,52187.0,40649.0,-5613.0,64762.0,819266.0,441538.0,202017.0,196655.0,611301.0,9.37
2017-03,0.0,0.0,0.0,20247.0,7480.0,-563.0,949.0,1857.0,1294.0,934.0,755.0,-18499.0,-20868.0,798230.0,419254.0,178787.0,172318.0,613468.0,0.12
2017-06,0.02,0.0,0.0,56844.0,25531.0,6096.0,1665.0,1611.0,7707.0,5573.0,3970.0,-23875.0,6679.0,839447.0,469981.0,216236.0,211205.0,616553.0,0.65
2017-09,0.04,0.0,0.0,97914.0,47736.0,15157.0,3555.0,1556.0,16714.0,12192.0,10116.0,-29332.0,-3972.0,947199.0,501961.0,315507.0,309107.0,624351.0,1.64
2017-12,0.31,0.0,0.0,233093.0,110625.0,102030.0,50416.0,-121.0,101909.0,87378.0,43092.0,-5296.0,-10930.0,1067832.0,648193.0,349126.0,342908.0,710544.0,13.33
2018-03,0.0,0.0,0.0,20902.0,11805.0,1730.0,766.0,40.0,1770.0,1052.0,924.0,-41521.0,-30357.0,992723.0,559765.0,272141.0,266067.0,712345.0,0.15
2018-06,0.02,0.0,0.0,73000.0,36471.0,8576.0,2133.0,117.0,8692.0,6138.0,5038.0,-88579.0,-5185.0,978893.0,511334.0,266492.0,260536.0,703848.0,0.86
2018-09,0.04,0.0,0.0,128952.0,61188.0,17174.0,2183.0,363.0,17537.0,12356.0,11532.0,-89290.0,-48489.0,988794.0,509634.0,270902.0,239079.0,710310.0,1.72
