,0
升降百分比, 0.0
今日最高价, 16.84
当前价, 16.69
今日开盘价, 16.69
今日最低价, 16.49
价格升降, 0.0
更新时间," ""2019/01/11 15"
今日成交量, 193218
昨日收盘价, 16.69
今日成交额, 3220929.42
