,0
升降百分比, 0.017013
今日最高价, 5.39
当前价, 5.38
今日开盘价, 5.32
今日最低价, 5.3
价格升降, 0.09
更新时间," ""2019/01/11 15"
今日成交量, 7230716
昨日收盘价, 5.29
今日成交额, 38645416.36
