,0
升降百分比, 0.004494
今日最高价, 4.47
当前价, 4.47
今日开盘价, 4.45
今日最低价, 4.4
价格升降, 0.02
更新时间," ""2019/01/11 15"
今日成交量, 12109981
昨日收盘价, 4.45
今日成交额, 53761994.14
