,基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%)
2015-12,0.5,0.0,0.0,486535.0,154808.0,114974.0,104612.0,8660.0,123634.0,78901.0,142.0,1259.0,171658.0,1811490.0,1253447.0,1152280.0,820449.0,447216.0,19.7
2016-03,0.02,0.0,0.0,137983.0,47393.0,11117.0,-3006.0,1574.0,12690.0,3014.0,5542.0,8412.0,-34040.0,1877401.0,1267394.0,1200502.0,773634.0,446727.0,0.67
2016-06,0.05,0.0,0.0,279445.0,90197.0,19741.0,6080.0,4114.0,23855.0,7252.0,4003.0,2096.0,-85586.0,1871045.0,1192892.0,1171044.0,797793.0,454313.0,1.61
2016-09,0.1,0.0,0.0,418903.0,131954.0,40168.0,27617.0,5611.0,45779.0,21037.0,2353.0,2552.0,-152848.0,1949677.0,1221659.0,1221496.0,831818.0,453770.0,4.67
2016-12,0.11,0.0,0.0,641175.0,189156.0,45113.0,40536.0,9060.0,54173.0,23338.0,-1449.0,-1216.0,-179771.0,2162293.0,1410013.0,1348819.0,997364.0,447268.0,5.2
2017-03,0.02,0.0,0.0,126664.0,41298.0,8767.0,1952.0,1838.0,10604.0,3347.0,-936.0,6275.0,35912.0,2263842.0,1469561.0,1434796.0,1047886.0,452894.0,0.75
2017-06,0.04,0.0,0.0,293918.0,98959.0,22303.0,11701.0,4018.0,26321.0,8008.0,344.0,1812.0,112437.0,2424923.0,1618499.0,1511836.0,1146872.0,453546.0,1.77
2017-09,0.08,0.0,0.0,487312.0,163015.0,41915.0,18255.0,4533.0,46448.0,18048.0,1978.0,4803.0,216540.0,2662178.0,1851291.0,1653138.0,1008157.0,465022.0,3.96
2017-12,0.06,0.0,0.0,702351.0,229085.0,35727.0,33060.0,2220.0,37947.0,13320.0,-8222.0,39091.0,188583.0,2710946.0,1821488.0,1716356.0,1109547.0,499955.0,2.88
2018-03,0.02,0.0,0.0,202083.0,72578.0,9930.0,-788.0,842.0,10772.0,3523.0,10277.0,10076.0,-43234.0,2747296.0,1854819.0,1745845.0,1133598.0,501191.0,0.35
2018-06,0.05,0.0,0.0,433787.0,145015.0,34207.0,44224.0,1371.0,35578.0,11491.0,307.0,46202.0,42648.0,2825562.0,1925252.0,1832820.0,1161007.0,508117.0,2.28
2018-09,0.05,0.0,0.0,664926.0,221948.0,34949.0,37729.0,2721.0,37669.0,9861.0,8875.0,205629.0,39737.0,2880128.0,1959447.0,1882366.0,1186701.0,508841.0,1.95
